title,company,comp,location,link,source,notes
Client Success Manager (Marketing Agency),Huzzle,"$1,200-2,000/mo",Remote,https://apply.workable.com/huzzle/j/94A161446E,Workable,US Central time
Client Success Manager,Trivium,,Remote,https://apply.workable.com/trivium/j/24310BF151,Workable,
Senior Client Success Manager,Online Education Services (OES),,Remote,https://apply.workable.com/oes/j/2827677DD7,Workable,UK
Client Success Agent,The Credit Pros,,Remote,https://apply.workable.com/the-credit-pros/j/F132B89F29/,Workable,
Student Success Coach,Campus,,Remote,https://jobs.ashbyhq.com/campus/b11d1360-48d8-4dd8-a1e2-ea72d53a4d8f,Ashby,
Student Success Coach,American College of Education,,Remote,https://apply.workable.com/american-college-of-education/j/F71C5BB683/,Workable,
# --- Added 2026-06-12: specialist board sweep (Nomadic Closer) ---
High-Ticket Closer,Nomadic Closer,warm inbound leads,Remote,https://bebee.com/us/jobs/high-ticket-closer-y-nomadic-closer--theirstack-670147349,Nomadic Closer,
High-Ticket Inbound Setter,Nomadic Closer,,Remote,https://bebee.com/us/jobs/high-ticket-inbound-setter-y-nomadic-closer--theirstack-672305527,Nomadic Closer,
# --- Added 2026-06-12: niche sweep (fitness / e-com / agency) ---
Remote High-Ticket B2B Sales Closer,Amazon FBA Agency (via WorkinVirtual),"$85k base + 4% / $20-25k mo",Remote,https://workinvirtual.com/job/remote-high-ticket-b2b-sales-closer-amazon-fba-agency-6-figure-commission/,WorkinVirtual,Amazon FBA / e-commerce niche
Remote High Ticket Closer,B. Davis Consulting,,Remote,https://www.linkedin.com/jobs/view/remote-high-ticket-closer-at-b-davis-consulting-4412396956,LinkedIn,
High-Ticket Closer & Appointment Setter,AI Growth Marketing Agency,commission + bonus,Remote,https://jobmatrix.social-networking.me/job/high-ticket-closer-appointment-setter-remote-part-time-join-our-ai-growth-marketing-agency,JobMatrix,SMMA / agency niche
